Available Themes
3024-night
a11y-dark
blackboard
base16-dark
base16-light
cobalt
dracula-pro
duotone-dark
hopscotch
lucario
material
monokai
night-owl
nord
oceanic-next
one-light
one-dark
panda-syntax (panda)
paraiso-dark
seti
shades-of-purple
solarized+dark
solarized+light
synthwave-84
twilight
verminal
vscode
yeti
zenburn
